MKT Carrier
AS
HA
WN
AA
AS
G4
HA
AA
AS
HA
AA
AS
HA
WN
WN
WN
AA
AS
HA
WN
WN
WN
AA
AS
AS
HA
WN
WN
WN
WN
WN
WN
AS
B6
G4
HA
B6
HA
B6
HA
AS
B6
HA
AS
B6
AS
HA
WN
WN
WN
WN
WN
AS
B6
G4
HA
AS
B6
HA
AS
B6
HA
WN
WN
AS
B6
HA
WN
WN
AS
B6
AS
HA
WN
AS
HA
AS
G4
HA
B6
HA
AS
HA
AS
HA
HA
WN
WN
WN
WN
G4
HA
WN
WN
WN
WN
AS
HA
AS
HA
AS
G4
HA
HA
WN
WN
WN
WN
G4
HA
WN
WN
WN
WN
AS
B6
HA
AS
HA
AS
AS
G4
HA
WN
AS
F9
HA
G4
HA
AS
F9
HA
AS
HA
AS
AS
HA
WN
AS
F9
HA
AS
G4
HA
AS
F9
HA
WN
AS
HA
WN
AS
AS
HA
NK
WN
WN
WN
AS
HA
NK
AS
G4
HA
NK
HA
NK
WN
WN
WN
AS
HA
WN
WN
WN
AS
AS
HA
NK
AS
HA
NK
AS
G4
HA
NK
AS
HA
NK
AS
G4
HA
AS
HA
UA
WN
HA
UA
G4
HA
UA
HA
G4
HA
AS
AS
HA
UA
WN
WN
AS
G4
HA
UA
AS
HA
UA
AS
HA
AS
HA
AS
AS
HA
AS
G4
HA
WN
WN
WN
WN
AS
G4
HA
WN
WN
WN
WN
AS
HA
AS
HA
AS
AS
B6
HA
AS
HA
WN
WN
WN
WN
AS
G4
HA
WN
WN
WN
WN
AS
HA
WN
AS
B6
HA
WN
AS
AS
B6
HA
WN
WN
AS
B6
HA
AS
B6
G4
HA
AS
B6
HA
WN
WN
WN
WN
WN
AS
B6
HA
WN
WN
WN
WN
WN
AS
B6
AS
B6
HA
WN
AS
B6
G4
HA
AS
B6
HA
AS
B6
HA
AS
B6
HA
AS
B6
AS
B6
HA
WN
WN
WN
AS
B6
G4
HA
AS
B6
HA
AS
B6
HA
AS
B6
HA
AS
B6
AS
WN
WN
AS
G4
AS
AS
AS
AS
AS
HA
AS
G4
HA
WN
WN
WN
AS
HA
WN
WN
WN
AS
HA
WN
WN
AS
HA
WN
WN
AS
AS
B6
G4
HA
NK
AS
B6
HA
NK
WN
WN
WN
AS
B6
G4
HA
NK
WN
WN
WN
AS
B6
G4
HA
NK
AS
B6
HA
NK
AS
B6
WN
B6
B6
G4
AS
B6
B6
AS
B6
AS
B6
G4
HA
WN
AS
B6
G4
HA
AS
B6
HA
AS
B6
WN
WN
WN
WN
AS
B6
WN
WN
WN
WN
AS
B6
B6
G4
HA
NK
WN
WN
B6
G4
HA
NK
AS
B6
NK
AS
B6
NK
AS
B6
G4
NK
AS
B6
G4
HA
NK
G4
HA
NK
WN
WN
WN
WN
WN
AS
G4
HA
NK
WN
WN
WN
WN
WN
AS
G4
HA
NK
AS
G4
NK
AS
AS
B6
HA
WN
AS
B6
HA
AS
B6
G4
HA
B6
HA
B6
AS
B6
B6
WN
B6
G4
B6
G4
B6
AS
B6
B6
AA
AS
NK
AA
AS
G4
NK
WN
WN
AA
AS
NK
WN
WN
AA
AS
NK
AA
AS
NK
AA
AS
AA
HA
NK
WN
WN
AA
G4
HA
NK
AA
G4
HA
NK
AA
AS
HA
NK
AA
AS
HA
NK
AA
AS
AS
AS
HA
WN
AS
G4
HA
AS
AS
G4
HA
AS
AS
HA
WN
WN
AS
AS
G4
HA
WN
WN
AS
AS
HA
AS
AS
AS
AS
G4
HA
WN
AS
AS
AS
AS
G4
HA
WN
AS
AS
AS
AS
HA
AS
AS
AS
AS
G4
HA
AS
AS
AS
AS
AS
AS
AS
AS
B6
HA
WN
WN
WN
WN
WN
WN
AS
AS
AS
AS
B6
HA
AS
AS
AS
AS
B6
HA
AS
AS
AS
AS
B6
HA
AS
AS
AS
AS
B6
HA
AS
AS
AS
AS
B6
HA
WN
HA
G4
HA
AS
HA
AS
HA
AS
HA
AS
AS
AS
AS
AS
HA
WN
WN
AS
AS
AS
AS
AS
G4
HA
WN
WN
AS
AS
AS
AS
AS
HA
AS
AS
AS
AS
AS
HA
AS
AS
AS
AS
AS
B6
AS
AS
AS
AS
AS
B6
AS
AS
AS
AS
AS
B6
G4
AS
AS
AS
AS
AS
B6
AS
AS
AS
AS
AS
AS
AS
AS
AS
AS
B6
B6
UA
WN
AS
AS
AS
AS
B6
UA
AS
AS
AS
AS
B6
UA
AS
AS
AS
AS
B6
AS
AS
AS
AS
AS
AS
AS
AS
B6
AS
AS
AS
AS
HA
UA
AS
AS
AS
AS
B6
G4
HA
UA
AS
AS
AS
AS
B6
HA
UA
AS
AS
AS
AS
B6
HA
AS
AS
AS
AS
B6
HA
AS
AS
AS
AS
AS
B6
HA
AS
B6
G4
HA
AS
B6
HA
AS
B6
HA
AS
B6
HA
AS
B6
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
AS
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
HA
AS
AS
B6
AS
B6
HA
AS
B6
HA
B6
HA
AS
B6
HA
AS
B6
HA
AS
B6
B6
HA
B6
HA
B6
HA
AS
B6
HA
AS
B6
HA
AS
B6
AS
AS
HA
AS
AS
HA
AS
AS
HA
AS
AS
HA
AS
AS
HA
AS
AS
HA
HA
HA
HA
HA
AS
AS
AS
G4
AS
AS
AS
AA
AS
AA
AS
AA
AS
G4
AA
AA
AS
AS
AA
AS
AS
AS
AS
AS
AS
AS
G4
B6
B6
B6
G4
AS
B6
AS
AS
B6
B6
HA
B6
G4
HA
B6
G4
AS
B6
AS
AS
B6
AS
DL
HA
AS
DL
AS
DL
G4
AS
DL
AS
DL
HA
AS
AS
G4
AS
AS
AS
B6
AS
B6
AS
B6
AS
B6
G4
AS
B6
B6
AS
B6
HA
AS
B6
B6
HA
AS
B6
AS
HA
AS
B6
AS
B6
AS
B6
HA
AS
B6
B6
HA
AS
B6
AS
B6
AS
B6
NK
AS
B6
G4
NK
AS
B6
NK
AS
B6
NK
AS
NK
AS
B6
AS
B6
B6
AS
B6
G4
B6
HA
AS
AS
B6
B6
HA
B6
G4
HA
B6
HA
AS
B6
HA
AS
B6
AS
B6
AS
B6
HA
AS
B6
G4
HA
AS
B6
HA
B6
AS
B6
HA
AS
B6
AS
AS
G4
AS
B6
AS
B6
HA
AS
B6
AS
AS
G4
AS
AS
AS
B6
AS
B6
AS
AS
AS
AS
AS
AS
AS
AS
B6
AS
B6
AS
AS
AS
HA
B6
G4
F9
AS
AS
AS
AS
B6
AS
B6
G4
B6
F9
B6
B6
B6
AS
B6
NK
AS
B6
NK
AS
B6
NK
B6
NK
B6
B6
AS
NK
AS
NK
NK
AS
NK
AS
AS
AS
B6
F9
AS
B6
F9
WN
WN
WN
WN
AS
B6
F9
WN
WN
WN
WN
B6
F9
WN
WN
WN
WN
WN
B6
WN
WN
WN
WN
WN
AS
B6
AS
B6
HA
WN
AS
B6
F9
WN
AS
B6
F9
G4
HA
WN
B6
F9
HA
AS
B6
F9
HA
AS
B6
AA
B6
F9
AA
B6
F9
WN
AA
B6
WN
AS
B6
F9
WN
WN
WN
AS
B6
WN
WN
WN
AS
B6
AS
F9
NK
AS
F9
NK
WN
WN
WN
WN
AS
NK
WN
WN
WN
WN
AS
F9
NK
WN
WN
WN
WN
WN
AS
NK
WN
WN
WN
WN
WN
AS
AS
F9
HA
AS
F9
WN
WN
WN
F9
HA
WN
WN
WN
F9
HA
WN
F9
HA
WN
AS
B6
HA
B6
F9
WN
WN
WN
WN
B6
HA
WN
WN
WN
WN
AS
B6
F9
HA
AS
F9
HA
AS
B6
F9
WN
F9
WN
AS
F9
WN
AS
F9
WN
AS
AS
F9
HA
AS
F9
G4
WN
WN
AS
F9
G4
HA
WN
WN
AS
F9
HA
AS
F9
HA
AS
F9
AS
F9
F9
F9
B6
F9
G4
B6
F9
B6
F9
AS
B6
F9
AS
B6
F9
AS
B6
AS
AS
WN
AS
F9
WN
AS
F9
WN
AS
F9
WN
AS
NK
NK
WN
WN
AS
F9
NK
WN
WN
AS
F9
NK
AS
F9
NK
AS
AS
HA
AS
HA
AS
AS
HA
AS
AS
F9
HA
AS
AS
WN
WN
WN
G4
WN
WN
WN
AS
WN
WN
AS
F9
WN
